Date,Stock,Sector,Quantity,Buy_Price,Current_Price
2026-08-01,RELIANCE,Energy,10,1400,1450
2026-08-02,RELIANCE,Energy,10,1400,1470
2026-08-03,RELIANCE,Energy,10,1400,1460
2026-08-04,RELIANCE,Energy,10,1400,1490
2026-08-05,RELIANCE,Energy,10,1400,1510
2026-08-06,RELIANCE,Energy,10,1400,1530
2026-08-07,RELIANCE,Energy,10,1400,1520
2026-08-08,TCS,IT,8,3500,3550
2026-08-09,TCS,IT,8,3500,3600
2026-08-10,TCS,IT,8,3500,3570
2026-08-11,TCS,IT,8,3500,3650
2026-08-12,TCS,IT,8,3500,3700
2026-08-13,TCS,IT,8,3500,3680
2026-08-14,TCS,IT,8,3500,3750
2026-08-15,INFY,IT,12,1500,1530
2026-08-16,INFY,IT,12,1500,1560
2026-08-17,INFY,IT,12,1500,1540
2026-08-18,INFY,IT,12,1500,1580
2026-08-19,INFY,IT,12,1500,1610
2026-08-20,INFY,IT,12,1500,1590
2026-08-21,INFY,IT,12,1500,1630
2026-08-22,HDFCBANK,Banking,15,1600,1620
2026-08-23,HDFCBANK,Banking,15,1600,1650
2026-08-24,HDFCBANK,Banking,15,1600,1635
2026-08-25,HDFCBANK,Banking,15,1600,1680
2026-08-26,HDFCBANK,Banking,15,1600,1700
2026-08-27,HDFCBANK,Banking,15,1600,1690
2026-08-28,HDFCBANK,Banking,15,1600,1720
2026-08-29,ITC,FMCG,20,450,465
2026-08-30,ITC,FMCG,20,450,470
2026-08-31,ITC,FMCG,20,450,468
2026-09-01,ITC,FMCG,20,450,475
2026-09-02,ITC,FMCG,20,450,480
2026-09-03,ITC,FMCG,20,450,478
2026-09-04,ITC,FMCG,20,450,485
