Date,User,Post,Likes,Comments,Shares,Category
2026-08-25,Aditi,"Python is amazing! #Python #Coding",120,25,15,Technology
2026-08-25,Rahul,"Amazing football match! #Football #Sports",250,50,40,Sports
2026-08-26,Priya,"Learning machine learning today! #AI #MachineLearning",180,35,20,Technology
2026-08-26,Aman,"Beautiful travel destination! #Travel #Nature",300,60,45,Travel
2026-08-27,Aditi,"I love learning Python! #Python #AI",200,40,30,Technology
2026-08-27,Rahul,"What a great game! #Football #Sports",280,70,50,Sports
2026-08-28,Priya,"This is a terrible day. #Sad #Life",90,20,10,Lifestyle
2026-08-28,Aman,"Amazing beach vacation! #Travel #Beach",350,80,60,Travel
2026-08-29,Aditi,"Excellent AI project completed! #AI #Python",400,90,70,Technology
2026-08-29,Rahul,"I am disappointed with the result. #Sports",100,30,15,Sports
2026-08-30,Priya,"Machine learning is awesome! #AI #ML",220,45,35,Technology
2026-08-30,Aman,"Wonderful mountain experience! #Travel #Nature",320,65,50,Travel
