Date,Description,Amount,Type
2026-01-01,Salary,45000,Income
2026-01-02,Rent,12000,Expense
2026-01-03,Grocery,3500,Expense
2026-01-05,Electricity,1800,Expense
2026-01-07,Internet,900,Expense
2026-01-10,Restaurant,1200,Expense
2026-01-12,Transport,700,Expense
2026-01-15,Shopping,2500,Expense
2026-01-20,Medicine,800,Expense
2026-02-01,Salary,45000,Income
2026-02-02,Rent,12000,Expense
2026-02-04,Grocery,3200,Expense
2026-02-06,Electricity,1900,Expense
2026-02-08,Internet,900,Expense
2026-02-10,Restaurant,1400,Expense
2026-02-12,Transport,800,Expense
2026-02-18,Shopping,2200,Expense
2026-02-20,Medicine,700,Expense
2026-03-01,Salary,45000,Income
2026-03-02,Rent,12000,Expense
2026-03-04,Grocery,3800,Expense
2026-03-06,Electricity,2100,Expense
2026-03-08,Internet,900,Expense
2026-03-10,Restaurant,1600,Expense
2026-03-12,Transport,900,Expense
2026-03-18,Shopping,3000,Expense
2026-03-20,Medicine,900,Expense
