Date,City,Temperature,Weather
2026-08-01,Delhi,34,Sunny
2026-08-01,Mumbai,29,Rainy
2026-08-01,Chandigarh,31,Sunny
2026-08-02,Delhi,35,Sunny
2026-08-02,Mumbai,28,Rainy
2026-08-02,Chandigarh,30,Cloudy
2026-08-03,Delhi,33,Rainy
2026-08-03,Mumbai,30,Sunny
2026-08-03,Chandigarh,32,Sunny
2026-08-04,Delhi,36,Sunny
2026-08-04,Mumbai,29,Cloudy
2026-08-04,Chandigarh,33,Sunny
2026-08-05,Delhi,37,Sunny
2026-08-05,Mumbai,27,Rainy
2026-08-05,Chandigarh,31,Rainy
2026-08-06,Delhi,35,Cloudy
2026-08-06,Mumbai,30,Sunny
2026-08-06,Chandigarh,34,Sunny
2026-08-07,Delhi,38,Sunny
2026-08-07,Mumbai,28,Rainy
2026-08-07,Chandigarh,32,Cloudy
